Aboard,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Total Death,Type,cn/In,Country,Latitude,Longitude,Name
25,03-08-1953,1,,0,Sharjah,United Arab Emirates,,"Sharjah, United Arab Emirates",1,Orient Airways,AP-AAD,Sharjah - Bahrain,"Shortly after taking off, the aircraft entered a turn and crashed to the ground. The failure of the captain to supervise the first officer in flying the plane who was not able to fly on instruments in the dark.",30-12-1899 22:37:00,1,Douglas DC-3,9143,AE,23.424076,53.847818,United Arab Emirates
3,12-12-1963,3,,0,Gazni,Afghanistan,,"Gazni, Afghanistan",1,Trans Mediterranean Airways,OD-AEB,Kawait - Kabul,"The cargo plane struck a mountain while en route. A wrong estimation of the wind speed and direction resulted in a navigation error which brought the aircraft 42 nm from the approved air route. Possible contributing factors were: lack of weather forecast prior to takeoff, personal worries, fatigue and lack of oxygen, inadequate charts and maps.",30-12-1899 10:15:00,3,Douglas C-54A,10424,AF,33.93911,67.709953,Afghanistan
9,31-03-2005,9,,0,Near Rovie,Albania,,"Near Rovie, Albania",1,Military - U.S. Air Force,87-0127,Training,While on a training mission the aircraft crashed into a mountainous area and was destroyed.,30-12-1899 20:00:00,9,Lockheed Hercules MC-130H,5118,AL,41.153332,20.168331,Albania
4,18-07-1981,4,,0,Near Yerevan,Armenia,,"Near Yerevan, Armenia",1,TAR,LV-JTN,"Tehran, Iran - Larnaca, Cyprus",The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.,30-12-1899 15:44:00,4,Canadair CL-44D4-6,34,AM,40.069099,45.038189,Armenia
13,21-12-1972,13,,0,Off St. Maarten off,Netherlands Antilles,,"Off St. Maarten off, Netherlands Antilles",1,Air Guadeloupe,F-OGFE,Guadeloupe - St. Maarten,Crashed on approach into the sea.,,13,de Havilland Canada DHC-6 Twin Otter 300,258,AN,12.226079,-69.060087,Netherlands Antilles
9,18-07-1950,9,,0,Near Bocoio,Angola,,"Near Bocoio, Angola",1,DTA Angola Airlines,CR-LBK,Nova Lisboa - Lobito,,,9,Douglas DC-3,13769,AO,-11.202692,17.873887,Angola
2,11-03-1933,2,,0,Near Mendoza,Argentina,,"Near Mendoza, Argentina",1,Pan American Grace Airways,NC9723,"Mendoza, Argentina - Santiago, Chili",Crashed and burned.,,2,Fairchild FC-2W,,AR,-38.416097,-63.616672,Argentina
101,30-01-1974,96,806,0,Pago Pago,American Samoa,,"Pago Pago, American Samoa",1,Pan American World Airways,N454PA,Auckland - Pago Pago,"The aircraft crashed and burned while making ILS approach to Pango Pango International Airport. There was a failure of the crew to correct an excessive rate of descent causing the aircraft to fly into trees short of the runway. Windshear, sensory illusory, inadequate monitoring of flight instruments, and the failure of the crew to call out descent rate. Most aboard the aircraft were not injured by the crash but succumbed to fire and paniafterwards. The aircraft was named Clipper Raidant.",30-12-1899 23:41:00,96,Boeing B-707-321B,19376/661,AS,-14.270972,-170.132217,American Samoa
29,10-10-1955,7,,0,Near Wien,Austria,,"Near Wien, Austria",1,JAT Yugoslav Airlines,YU-ADC,Beograd - Wien,Crashed into Kahlenberg Hill while on approach to Wien.  The aircraft flew for a longer time on the outbound track and descended below the prescribed minimum altitutde. Pilot error.,30-12-1899 16:40:00,7,Convair CV-340-58,178,AT,47.516231,14.550072,Austria
2,06-04-1921,1,,0,Point Cook,Australia,,"Point Cook, Australia",1,Military - Royal Australian Air Force,H3021,,,,1,,,AU,-25.274398,133.775136,Australia
