Aboard,Total Death,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Type,cn/In
2,1,17-09-1908,1,,0,Fort Myer,Virginia,,"Fort Myer, Virginia",1,Military - U.S. Army,,Demonstration,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",30-12-1899 17:18:00,Wright Flyer III,1
5,5,12-07-1912,5,,0,AtlantiCity,New Jersey,,"AtlantiCity, New Jersey",1,Military - U.S. Navy,,Test flight,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",30-12-1899 06:30:00,Dirigible,
1,1,06-08-1913,1,,0,Victoria,British Columbia,Canada,"Victoria, British Columbia, Canada",1,Private,,,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",,Curtiss seaplane,
20,14,09-09-1913,14,,0,Over the North Sea,,,Over the North Sea,1,Military - German Navy,,,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,30-12-1899 18:30:00,Zeppelin L-1 (airship),
30,30,17-10-1913,30,,0,Near Johannisthal,Germany,,"Near Johannisthal, Germany",1,Military - German Navy,,,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",30-12-1899 10:30:00,Zeppelin L-2 (airship),
41,21,05-03-1915,21,,0,Tienen,Belgium,,"Tienen, Belgium",1,Military - German Navy,,,Crashed into trees while attempting to land after being shot down by British and French aircraft.,30-12-1899 01:00:00,Zeppelin L-8 (airship),
19,19,03-09-1915,19,,0,Off Cuxhaven,Germany,,"Off Cuxhaven, Germany",1,Military - German Navy,,,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",30-12-1899 15:20:00,Zeppelin L-10 (airship),
20,20,28-07-1916,20,,0,Near Jambol,Bulgeria,,"Near Jambol, Bulgeria",1,Military - German Army,,,"Crashed near the Black Sea, cause unknown.",,Schutte-Lanz S-L-10 (airship),
22,22,24-09-1916,22,,0,Billericay,England,,"Billericay, England",1,Military - German Navy,,,Shot down by British aircraft crashing in flames.,30-12-1899 01:00:00,Zeppelin L-32 (airship),
19,19,01-10-1916,19,,0,Potters Bar,England,,"Potters Bar, England",1,Military - German Navy,,,Shot down in flames by the British 39th Home Defence Squadron.,30-12-1899 23:45:00,Zeppelin L-31 (airship),
28,27,21-11-1916,27,,0,Mainz,Germany,,"Mainz, Germany",1,Military - German Army,,,Crashed in a storm.,,Super Zeppelin (airship),
20,20,28-11-1916,20,,0,Off West Hartlepool,England,,"Off West Hartlepool, England",1,Military - German Navy,,,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,30-12-1899 23:45:00,Zeppelin L-34 (airship),
20,20,04-03-1917,20,,0,Near Gent,Belgium,,"Near Gent, Belgium",1,Military - German Army,,,Caught fire and crashed.,,Airship,
23,23,30-03-1917,23,,0,Off Northern Germany,,,Off Northern Germany,1,Military - German Navy,,,Struck by lightning and crashed into the BaltiSea.,,Schutte-Lanz S-L-9 (airship),
21,21,14-05-1917,21,,0,Near Texel Island,North Sea,,"Near Texel Island, North Sea",1,Military - German Navy,,,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",30-12-1899 05:15:00,Zeppelin L-22 (airship),
24,24,14-06-1917,24,,0,Off Vlieland Island,North Sea,,"Off Vlieland Island, North Sea",1,Military - German Navy,,,Shot down by British aircraft.,30-12-1899 08:45:00,Zeppelin L-43 (airship),
18,18,21-08-1917,18,,0,Off western Denmark,,,Off western Denmark,1,Military - German Navy,,,Shot down by British aircraft.,30-12-1899 07:00:00,Zeppelin L-23 (airship),
18,18,20-10-1917,18,,0,Near Luneville,France,,"Near Luneville, France",1,Military - German Navy,,,Shot down by French anti-aircraft fire.,30-12-1899 07:45:00,Zeppelin L-44 (airship),
23,23,07-04-1918,23,,0,Over the Mediterranean,,,Over the Mediterranean,1,Military - German Navy,,,Exploded and crashed into the sea off the southern coast of Italy.,30-12-1899 21:30:00,Zeppelin L-59 (airship),
22,22,10-05-1918,22,,0,Off Helgoland Island,Germany,,"Off Helgoland Island, Germany",1,Military - German Navy,,,"Shot down by British aircraft crashing from a height of 17,000 ft.",,Zeppelin L-70 (airship),
19,19,11-08-1918,19,,0,Ameland Island,North Sea,,"Ameland Island, North Sea",1,Military - German Navy,,,Shot down by british aircraft.,30-12-1899 10:00:00,Zeppelin L-53 (airship),
1,1,16-12-1918,1,,0,Elizabeth,New Jersey,,"Elizabeth, New Jersey",1,US Aerial Mail Service,97,,,,De Havilland DH-4,
1,1,25-05-1919,1,,0,Cleveland,Ohio,,"Cleveland, Ohio",1,US Aerial Mail Service,61,,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,,De Havilland DH-4,
1,1,19-07-1919,1,,0,Dix Run,Pennsylvania,,"Dix Run, Pennsylvania",1,US Aerial Mail Service,82,,,,De Havilland DH-4,
1,1,02-10-1919,1,,0,Newcastle,England,,"Newcastle, England",1,Aircraft Transport and Travel,,,,,De Havilland DH-4,
1,1,14-10-1919,1,,0,Cantonsville,Maryland,,"Cantonsville, Maryland",1,US Aerial Mail Service,32,,,,Curtiss R-4LM,
,,20-10-1919,,,,English Channel,,,English Channel,1,Aircraft Transport and Travel,G-EAHG,,,,De Havilland DH-4,
1,1,30-10-1919,1,,0,Long Valley,New Jersey,,"Long Valley, New Jersey",1,US Aerial Mail Service,77,,,,De Havilland DH.4,
1,1,10-03-1920,1,,0,New Paris,Indiana,,"New Paris, Indiana",1,US Aerial Mail Service,65,,,,De Havilland DH-4,
1,1,30-03-1920,1,,0,Newark,New Jersey,,"Newark, New Jersey",1,US Aerial Mail Service,72,,,,De Havilland DH-4,
2,1,10-04-1920,1,,0,Newark,New Jersey,,"Newark, New Jersey",1,US Aerial Mail Service,49,,,,Curtiss R-4LM,
2,1,11-04-1920,1,,0,Heller Field,New Jersey,,"Heller Field, New Jersey",1,US Aerial Mail Service,44,,,,Curtiss JN-4H,
2,1,12-05-1920,1,,0,Oskaloosa,Iowa,,"Oskaloosa, Iowa",1,US Aerial Mail Service,79,,,,De Havilland DH-4,
1,1,06-06-1920,1,,0,Cleveland,Ohio,,"Cleveland, Ohio",1,US Aerial Mail Service,204,,,,De Havilland DH-4,
1,1,16-08-1920,1,,0,Bedford,England,,"Bedford, England",1,By Air,G-EALW,,,,Armstrong-Whitworth F-K-8,
1,1,16-08-1920,1,,0,College Park,Maryland,,"College Park, Maryland",1,US Aerial Mail Service,317,,,,De Havilland DH-4,
2,2,01-09-1920,2,,0,Morristown,New Jersey,,"Morristown, New Jersey",1,US Aerial Mail Service,305,,,,Junkers JL-6,
2,2,15-09-1920,2,,0,Pemberville,Ohio,,"Pemberville, Ohio",1,US Aerial Mail Service,308,,,,Junkers F-13,
1,1,27-09-1920,1,,0,Hillersburg,Pennsylvania,,"Hillersburg, Pennsylvania",1,US Aerial Mail Service,316,,,,De Havilland DH-4,
2,2,02-10-1920,2,,0,Off Port Vendres,France,,"Off Port Vendres, France",1,Latecoere Airlines,F-ALAI,,,,Salmson 2-A-2,31
2,2,05-10-1920,2,,0,Valencia,Spain,,"Valencia, Spain",1,Latecoere Airlines,F-ALTA,,Crashed while landing.,,Breguet 14,20
1,1,15-10-1920,1,,0,Batavia,Illinois,,"Batavia, Illinois",1,US Aerial Mail Service,76,,,,De Havilland DH-4,
1,1,07-11-1920,1,,0,Tie Siding,Wyoming,,"Tie Siding, Wyoming",1,US Aerial Mail Service,,,,,De Havilland DH-4,178
8,4,14-12-1920,4,,0,Cricklewood,England,,"Cricklewood, England",1,Handley Page Transport,G-EAMA,,Crashed into a tree on take off in fog.,,Handley Page HP-16,HP-25
1,1,24-12-1920,1,,0,Barcelona,Spain,,"Barcelona, Spain",1,Aeropostale,F-ALBO,,,,Breguet 14,
1,1,03-02-1921,1,,0,Mendotta,Minnisota,,"Mendotta, Minnisota",1,US Aerial Mail Service,130,,,,De Havilland DH-4,
3,3,09-02-1921,3,,0,La Crosse,Wisconsin,,"La Crosse, Wisconsin",1,US Aerial Mail Service,301,,,,Junkers F-13,
2,2,15-02-1921,2,,0,Off Gibraltar,,,Off Gibraltar,1,Aeropostale,F-ALBA,,,,Breguet 14,
1,1,22-02-1921,1,,0,Elko,Nevada,,"Elko, Nevada",1,US Aerial Mail Service,67,,,,De Havilland DH-4,
2,1,06-04-1921,1,,0,Point Cook,Australia,,"Point Cook, Australia",1,Military - Royal Australian Air Force,H3021,,,,,
1,1,21-04-1921,1,,0,Mitchel Field,NY,,"Mitchel Field, NY",1,US Aerial Mail Service,160,,,,De Havilland DH-4,
1,1,29-04-1921,1,,0,Cleveland,Ohio,,"Cleveland, Ohio",1,US Aerial Mail Service,196,,,,De Havilland DH-4,
1,1,17-05-1921,1,,0,Rock Springs,Wyoming,,"Rock Springs, Wyoming",1,US Aerial Mail Service,176,,,,,
1,1,16-07-1921,1,,0,San Francisco,California,,"San Francisco, California",1,US Aerial Mail Service,222,,,,De Havilland DH-4,
2,2,14-08-1921,2,,0,Toulouse,France,,"Toulouse, France",1,Aeropostale,F-ALBI,,,,Breguet 14,
46,47,24-08-1921,46,,1,River Humber,England,,"River Humber, England",1,Military - Royal Airship Works,R-38,,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,30-12-1899 17:40:00,Royal Airship Works ZR-2 (airship),R-38
5,5,06-09-1921,5,,0,Paris,France,,"Paris, France",1,Franco-Roumaine,F-ADCD,Varsovie - Strasbourg - Paris,Crashed while making an approach to Le Bourget Airport in Paris.,,Potez IX,160
3,3,05-12-1921,3,,0,Near Murchinson River,Australia,,"Near Murchinson River, Australia",1,West Australian Airways,G-AUDI,,,,Bristol 28 Tourer,6116
5,10,14-01-1922,5,,5,Paris,France,,"Paris, France",1,Handley Page Transport,G-EATN,,Crashed at Le Bourget field.,,Handley Page O/10,HP-43
45,34,21-02-1922,34,,0,Near Norfolk,Virginia,,"Near Norfolk, Virginia",1,Military - U.S. Army Air Service,,,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,,Dirigible Roma (airship),
7,7,07-04-1922,7,,0,Grandvilliers,France,,"Grandvilliers, France",1,Daimler Airways / Grands Express Aeriens,G-EAOW/FGEAD,,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",,de Havilland DH-18 / Farman F-60 Goliath,4
17,17,08-04-1922,17,,0,Pao Ting Fou,China,,"Pao Ting Fou, China",1,,,,All seventeen aboard were Chinese nationals.,,,
3,3,13-04-1922,3,,0,Brooklands,England,,"Brooklands, England",1,Vickers,G-EBBZ,,,,Vickers Viking,
1,1,01-10-1925,1,,0,Nittany Mt,Ohio,,"Nittany Mt, Ohio",1,US Aerial Mail Service,385,,,,De Havilland DH-4,
